,Toponym Variant,Authority Name,MoEML @xml:id,Agas Map,All Variants (alternate names and variant spellings),Location category
30,Aetheling,Noble Street,NOBL1,Agas Map,Aetheling | Atheling | Noble Str. | Noble Street | Noble ſtreet | Noble ſtreete | Noble ſtréet | Noble ſtréete | Noble Stréete | Watchling ſtreete | Wathling ſtreete,Streets
31,Aetheredes hyd,Queenhithe,QUEE2,Agas Map,Aetheredes hyd | Edreds Hithe | Market at Quéene Hithe | Queen Hith | Queen Hithe | queen Hithe | Queen-hive | Queene hith | Queene Hithe | Queene-hive | Queenes hith | Queenes Hith | Queenes Hithe | Queenhith | Queenhithe | Quene Hithe | Quéene Hith | Quéene Hithe | Quéenes Banque | Quéenes Hith | Quéenes Hithe | Quéenes ſoke | Quéens bank | Ripa Reginæ,Riverside Features
32,Al Saintes,All Hallows (London Wall),ALLH1,Agas Map,"Al Saintes | Alhallowes | Alhallowes by the Wall | Alhallowes Church | Alhallowes church | Alhallowes churchyard | Alhallowes in the wall | Alhallowes in the Wall | All Hallows | All Hallows at the Wall | All Hallows at Wall | All Hallows by the Wall | All Hallows near London Wall | All Hallows under the Wall | All Hallows, London Wall | All Haloues in y Wall | All-ſaintes in the wall | Church of Alhallowes | church of Alhallowes in the wall | pariſh of Alhallowes",Churches
33,Albones in Woodſtreet,St. Alban (Wood Street) (Parish),STAL102, ,"Albones in Woodſtreet | Albons in wood stret | St. Alban, Wood Street parish",Parishes
34,Albons in wood stret,St. Alban (Wood Street) (Parish),STAL102, ,"Albones in Woodſtreet | Albons in wood stret | St. Alban, Wood Street parish",Parishes
35,Alborowes at byshopes gate,St. Ethelburga (Parish),STET101, ,Alborowes at byshopes gate | Ethelborowes Pariſh | St. Ethelburga parish,Parishes
36,Ald-gate,Aldgate,ALDG1,Agas Map,Ald-gate | Aldegate | Aldgate | Algate | Algegate | Ealdegate | Ealdgate | gate | Gate | Old-gate,Gates
37,Aldegate,Aldersgate Ward,ALDE2,Agas Map,Aldegate | Aldergate Ward | Alderſgate | Aldersgate | Alderſgate ſtreete ward | Alderſgate ſtréete Warde | Alderſgate ward | Alderſgate Ward | Aldersgate Ward | Aldersgate ward | Alderſgate warde | Alderſgate Warde | Ealderſgate | Eldrichgate,Wards
38,Aldegate,Aldgate,ALDG1,Agas Map,Ald-gate | Aldegate | Aldgate | Algate | Algegate | Ealdegate | Ealdgate | gate | Gate | Old-gate,Gates
39,Aldegate,Aldgate Ward,ALDG2,Agas Map,Aldegate | Aldegate ward | Aldegate warde | Aldegate Warde | Aldersgate Ward | Aldgate | Aldgate Ward | Aldgate ward | Aldgate warde | Aldgate Warde | Ealdegate | Ealdegate warde | Ealdgate | Ealdgate ward | Ealdgate Ward | Ealdgate Warde | Ealdgate warde,Wards
40,Aldegate,Aldgate Street,ALDG4,Agas Map,Aldegate | Aldgate | aldgate | Aldgate High Street | Aldgate Street | Aldgate ſtreet | Aldgate Street (without Aldgate) | Aldgate ſtreete | Aldgate warde | Ealdgate | Ealdgate ſtreete | Ealdgate Warde | high street,Streets
41,Aldegate ward,Aldgate Ward,ALDG2,Agas Map,Aldegate | Aldegate ward | Aldegate warde | Aldegate Warde | Aldersgate Ward | Aldgate | Aldgate Ward | Aldgate ward | Aldgate warde | Aldgate Warde | Ealdegate | Ealdegate warde | Ealdgate | Ealdgate ward | Ealdgate Ward | Ealdgate Warde | Ealdgate warde,Wards
42,Aldegate warde,Aldgate Ward,ALDG2,Agas Map,Aldegate | Aldegate ward | Aldegate warde | Aldegate Warde | Aldersgate Ward | Aldgate | Aldgate Ward | Aldgate ward | Aldgate warde | Aldgate Warde | Ealdegate | Ealdegate warde | Ealdgate | Ealdgate ward | Ealdgate Ward | Ealdgate Warde | Ealdgate warde,Wards
43,Aldegate Warde,Aldgate Ward,ALDG2,Agas Map,Aldegate | Aldegate ward | Aldegate warde | Aldegate Warde | Aldersgate Ward | Aldgate | Aldgate Ward | Aldgate ward | Aldgate warde | Aldgate Warde | Ealdegate | Ealdegate warde | Ealdgate | Ealdgate ward | Ealdgate Ward | Ealdgate Warde | Ealdgate warde,Wards
44,Aldemarie Church,St. Mary Aldermary,STMA29,Agas Map,"Aldemarie Church | Aldemary church | Aldermanbury church | Aldmary church | church of Aldmary | church of S. Mary at Oſney | pariſh Church of Aldermary | S. Mary Aldmary | St. Mary Aldermanbury Church | St. Mary Aldermary | St. Mary Aldermary Church | St. Mary, Aldermary",Churches
45,Aldemary church,St. Mary Aldermary,STMA29,Agas Map,"Aldemarie Church | Aldemary church | Aldermanbury church | Aldmary church | church of Aldmary | church of S. Mary at Oſney | pariſh Church of Aldermary | S. Mary Aldmary | St. Mary Aldermanbury Church | St. Mary Aldermary | St. Mary Aldermary Church | St. Mary, Aldermary",Churches
46,Aldergate,Aldersgate,ALDE3,Agas Map,Aldergate | Alderſgate | Aldersgate | Aldreſgate | gate,Gates
47,Aldergate Ward,Aldersgate Ward,ALDE2,Agas Map,Aldegate | Aldergate Ward | Alderſgate | Aldersgate | Alderſgate ſtreete ward | Alderſgate ſtréete Warde | Alderſgate ward | Alderſgate Ward | Aldersgate Ward | Aldersgate ward | Alderſgate warde | Alderſgate Warde | Ealderſgate | Eldrichgate,Wards
48,Alderman burie ſtreete,Aldermanbury,ALDE1,Agas Map,Alderman burie ſtreete | Alderman bury | Alderman-bury | Aldermanberry | Aldermanburie ſtreete | Aldermanbury | aldermanbury | Aldermanbury of London | Aldermanbury ſtreet | Aldermanbury ſtreete | Aldermans bery | Alderſmãbury,Streets
49,Alderman bury,Aldermanbury,ALDE1,Agas Map,Alderman burie ſtreete | Alderman bury | Alderman-bury | Aldermanberry | Aldermanburie ſtreete | Aldermanbury | aldermanbury | Aldermanbury of London | Aldermanbury ſtreet | Aldermanbury ſtreete | Aldermans bery | Alderſmãbury,Streets
50,Alderman-bury,Aldermanbury,ALDE1,Agas Map,Alderman burie ſtreete | Alderman bury | Alderman-bury | Aldermanberry | Aldermanburie ſtreete | Aldermanbury | aldermanbury | Aldermanbury of London | Aldermanbury ſtreet | Aldermanbury ſtreete | Aldermans bery | Alderſmãbury,Streets
51,Aldermanberry,Aldermanbury,ALDE1,Agas Map,Alderman burie ſtreete | Alderman bury | Alderman-bury | Aldermanberry | Aldermanburie ſtreete | Aldermanbury | aldermanbury | Aldermanbury of London | Aldermanbury ſtreet | Aldermanbury ſtreete | Aldermans bery | Alderſmãbury,Streets
52,Aldermanbery court,Alderman Bury,ALDR2, ,Aldermanbery court | Aldermans bury | Guild hal,Sites
53,Aldermanburie ſtreete,Aldermanbury,ALDE1,Agas Map,Alderman burie ſtreete | Alderman bury | Alderman-bury | Aldermanberry | Aldermanburie ſtreete | Aldermanbury | aldermanbury | Aldermanbury of London | Aldermanbury ſtreet | Aldermanbury ſtreete | Aldermans bery | Alderſmãbury,Streets
54,Aldermanbury,Aldermanbury,ALDE1,Agas Map,Alderman burie ſtreete | Alderman bury | Alderman-bury | Aldermanberry | Aldermanburie ſtreete | Aldermanbury | aldermanbury | Aldermanbury of London | Aldermanbury ſtreet | Aldermanbury ſtreete | Aldermans bery | Alderſmãbury,Streets
55,Aldermanbury,Aldersgate Street,ALDE4,Agas Map,Aldermanbury | Alderſgate | Aldersgate Street | Alderſgate Street | Alderſgate ſtreet | Alderſgate ſtreete | Alderſgate ſtréet | Alderſgate ſtréete | Alderſgateſteete | alderſgateſtreet | Alderſgateſtreet | Aldeſtreete,Streets
56,aldermanbury,Aldermanbury,ALDE1,Agas Map,Alderman burie ſtreete | Alderman bury | Alderman-bury | Aldermanberry | Aldermanburie ſtreete | Aldermanbury | aldermanbury | Aldermanbury of London | Aldermanbury ſtreet | Aldermanbury ſtreete | Aldermans bery | Alderſmãbury,Streets
57,Aldermanbury church,St. Mary Aldermary,STMA29,Agas Map,"Aldemarie Church | Aldemary church | Aldermanbury church | Aldmary church | church of Aldmary | church of S. Mary at Oſney | pariſh Church of Aldermary | S. Mary Aldmary | St. Mary Aldermanbury Church | St. Mary Aldermary | St. Mary Aldermary Church | St. Mary, Aldermary",Churches
58,Aldermanbury conduit,Aldermanbury Conduit,ALDE5,Agas Map,Aldermanbury conduit | Conduit in Aldermanbery | Conduit in Aldermanburie | Conduit in Aldermanbury | Conduite at Aldermanbury | Conduite in Aldermanbury ſtréete | Conduits,Water Features
59,Aldermanbury of London,Aldermanbury,ALDE1,Agas Map,Alderman burie ſtreete | Alderman bury | Alderman-bury | Aldermanberry | Aldermanburie ſtreete | Aldermanbury | aldermanbury | Aldermanbury of London | Aldermanbury ſtreet | Aldermanbury ſtreete | Aldermans bery | Alderſmãbury,Streets
60,Aldermanbury ſtreet,Aldermanbury,ALDE1,Agas Map,Alderman burie ſtreete | Alderman bury | Alderman-bury | Aldermanberry | Aldermanburie ſtreete | Aldermanbury | aldermanbury | Aldermanbury of London | Aldermanbury ſtreet | Aldermanbury ſtreete | Aldermans bery | Alderſmãbury,Streets
61,Aldermanbury ſtreete,Aldermanbury,ALDE1,Agas Map,Alderman burie ſtreete | Alderman bury | Alderman-bury | Aldermanberry | Aldermanburie ſtreete | Aldermanbury | aldermanbury | Aldermanbury of London | Aldermanbury ſtreet | Aldermanbury ſtreete | Aldermans bery | Alderſmãbury,Streets
62,Aldermans bery,Aldermanbury,ALDE1,Agas Map,Alderman burie ſtreete | Alderman bury | Alderman-bury | Aldermanberry | Aldermanburie ſtreete | Aldermanbury | aldermanbury | Aldermanbury of London | Aldermanbury ſtreet | Aldermanbury ſtreete | Aldermans bery | Alderſmãbury,Streets
63,Aldermans bury,Alderman Bury,ALDR2, ,Aldermanbery court | Aldermans bury | Guild hal,Sites
64,Alderſgate,Aldersgate Ward,ALDE2,Agas Map,Aldegate | Aldergate Ward | Alderſgate | Aldersgate | Alderſgate ſtreete ward | Alderſgate ſtréete Warde | Alderſgate ward | Alderſgate Ward | Aldersgate Ward | Aldersgate ward | Alderſgate warde | Alderſgate Warde | Ealderſgate | Eldrichgate,Wards
65,Alderſgate,Aldersgate,ALDE3,Agas Map,Aldergate | Alderſgate | Aldersgate | Aldreſgate | gate,Gates
66,Alderſgate,Aldersgate Street,ALDE4,Agas Map,Aldermanbury | Alderſgate | Aldersgate Street | Alderſgate Street | Alderſgate ſtreet | Alderſgate ſtreete | Alderſgate ſtréet | Alderſgate ſtréete | Alderſgateſteete | alderſgateſtreet | Alderſgateſtreet | Aldeſtreete,Streets
67,Aldersgate,Aldersgate Ward,ALDE2,Agas Map,Aldegate | Aldergate Ward | Alderſgate | Aldersgate | Alderſgate ſtreete ward | Alderſgate ſtréete Warde | Alderſgate ward | Alderſgate Ward | Aldersgate Ward | Aldersgate ward | Alderſgate warde | Alderſgate Warde | Ealderſgate | Eldrichgate,Wards
68,Aldersgate,Aldersgate,ALDE3,Agas Map,Aldergate | Alderſgate | Aldersgate | Aldreſgate | gate,Gates
69,Aldersgate Street,Aldersgate Street,ALDE4,Agas Map,Aldermanbury | Alderſgate | Aldersgate Street | Alderſgate Street | Alderſgate ſtreet | Alderſgate ſtreete | Alderſgate ſtréet | Alderſgate ſtréete | Alderſgateſteete | alderſgateſtreet | Alderſgateſtreet | Aldeſtreete,Streets
70,Alderſgate Street,Aldersgate Street,ALDE4,Agas Map,Aldermanbury | Alderſgate | Aldersgate Street | Alderſgate Street | Alderſgate ſtreet | Alderſgate ſtreete | Alderſgate ſtréet | Alderſgate ſtréete | Alderſgateſteete | alderſgateſtreet | Alderſgateſtreet | Aldeſtreete,Streets
71,Alderſgate ſtreet,Aldersgate Street,ALDE4,Agas Map,Aldermanbury | Alderſgate | Aldersgate Street | Alderſgate Street | Alderſgate ſtreet | Alderſgate ſtreete | Alderſgate ſtréet | Alderſgate ſtréete | Alderſgateſteete | alderſgateſtreet | Alderſgateſtreet | Aldeſtreete,Streets
72,Alderſgate ſtreete,Aldersgate Street,ALDE4,Agas Map,Aldermanbury | Alderſgate | Aldersgate Street | Alderſgate Street | Alderſgate ſtreet | Alderſgate ſtreete | Alderſgate ſtréet | Alderſgate ſtréete | Alderſgateſteete | alderſgateſtreet | Alderſgateſtreet | Aldeſtreete,Streets
73,Alderſgate ſtreete ward,Aldersgate Ward,ALDE2,Agas Map,Aldegate | Aldergate Ward | Alderſgate | Aldersgate | Alderſgate ſtreete ward | Alderſgate ſtréete Warde | Alderſgate ward | Alderſgate Ward | Aldersgate Ward | Aldersgate ward | Alderſgate warde | Alderſgate Warde | Ealderſgate | Eldrichgate,Wards
74,Alderſgate ſtréet,Aldersgate Street,ALDE4,Agas Map,Aldermanbury | Alderſgate | Aldersgate Street | Alderſgate Street | Alderſgate ſtreet | Alderſgate ſtreete | Alderſgate ſtréet | Alderſgate ſtréete | Alderſgateſteete | alderſgateſtreet | Alderſgateſtreet | Aldeſtreete,Streets
75,Alderſgate ſtréete,Aldersgate Street,ALDE4,Agas Map,Aldermanbury | Alderſgate | Aldersgate Street | Alderſgate Street | Alderſgate ſtreet | Alderſgate ſtreete | Alderſgate ſtréet | Alderſgate ſtréete | Alderſgateſteete | alderſgateſtreet | Alderſgateſtreet | Aldeſtreete,Streets
76,Alderſgate ſtréete Warde,Aldersgate Ward,ALDE2,Agas Map,Aldegate | Aldergate Ward | Alderſgate | Aldersgate | Alderſgate ſtreete ward | Alderſgate ſtréete Warde | Alderſgate ward | Alderſgate Ward | Aldersgate Ward | Aldersgate ward | Alderſgate warde | Alderſgate Warde | Ealderſgate | Eldrichgate,Wards
77,Alderſgate ward,Aldersgate Ward,ALDE2,Agas Map,Aldegate | Aldergate Ward | Alderſgate | Aldersgate | Alderſgate ſtreete ward | Alderſgate ſtréete Warde | Alderſgate ward | Alderſgate Ward | Aldersgate Ward | Aldersgate ward | Alderſgate warde | Alderſgate Warde | Ealderſgate | Eldrichgate,Wards
78,Alderſgate Ward,Aldersgate Ward,ALDE2,Agas Map,Aldegate | Aldergate Ward | Alderſgate | Aldersgate | Alderſgate ſtreete ward | Alderſgate ſtréete Warde | Alderſgate ward | Alderſgate Ward | Aldersgate Ward | Aldersgate ward | Alderſgate warde | Alderſgate Warde | Ealderſgate | Eldrichgate,Wards
79,Aldersgate Ward,Aldersgate Ward,ALDE2,Agas Map,Aldegate | Aldergate Ward | Alderſgate | Aldersgate | Alderſgate ſtreete ward | Alderſgate ſtréete Warde | Alderſgate ward | Alderſgate Ward | Aldersgate Ward | Aldersgate ward | Alderſgate warde | Alderſgate Warde | Ealderſgate | Eldrichgate,Wards
80,Aldersgate Ward,Aldgate Ward,ALDG2,Agas Map,Aldegate | Aldegate ward | Aldegate warde | Aldegate Warde | Aldersgate Ward | Aldgate | Aldgate Ward | Aldgate ward | Aldgate warde | Aldgate Warde | Ealdegate | Ealdegate warde | Ealdgate | Ealdgate ward | Ealdgate Ward | Ealdgate Warde | Ealdgate warde,Wards
81,Aldersgate ward,Aldersgate Ward,ALDE2,Agas Map,Aldegate | Aldergate Ward | Alderſgate | Aldersgate | Alderſgate ſtreete ward | Alderſgate ſtréete Warde | Alderſgate ward | Alderſgate Ward | Aldersgate Ward | Aldersgate ward | Alderſgate warde | Alderſgate Warde | Ealderſgate | Eldrichgate,Wards
82,Alderſgate warde,Aldersgate Ward,ALDE2,Agas Map,Aldegate | Aldergate Ward | Alderſgate | Aldersgate | Alderſgate ſtreete ward | Alderſgate ſtréete Warde | Alderſgate ward | Alderſgate Ward | Aldersgate Ward | Aldersgate ward | Alderſgate warde | Alderſgate Warde | Ealderſgate | Eldrichgate,Wards
83,Alderſgate Warde,Aldersgate Ward,ALDE2,Agas Map,Aldegate | Aldergate Ward | Alderſgate | Aldersgate | Alderſgate ſtreete ward | Alderſgate ſtréete Warde | Alderſgate ward | Alderſgate Ward | Aldersgate Ward | Aldersgate ward | Alderſgate warde | Alderſgate Warde | Ealderſgate | Eldrichgate,Wards
