,Toponym Variant,Authority Name,MoEML @xml:id,Agas Map,All Variants (alternate names and variant spellings),Location category
557,Beuis Markes,Bevis Marks (Street),BEVI1,Agas Map,"Abbot of Bery his Inne, Beuis Markes | Beavis Marks | Beuis Markes | Bevesmarkes | Bevis Marks | Buries marke | Buries Marke | Buries Markes | Buries markes | Buries marks | Inn of the Abbot of BUry St Edmunds",Streets
558,Bevesmarkes,Bevis Marks (Street),BEVI1,Agas Map,"Abbot of Bery his Inne, Beuis Markes | Beavis Marks | Beuis Markes | Bevesmarkes | Bevis Marks | Buries marke | Buries Marke | Buries Markes | Buries markes | Buries marks | Inn of the Abbot of BUry St Edmunds",Streets
559,Bevis Marks,Bevis Marks (Street),BEVI1,Agas Map,"Abbot of Bery his Inne, Beuis Markes | Beavis Marks | Beuis Markes | Bevesmarkes | Bevis Marks | Buries marke | Buries Marke | Buries Markes | Buries markes | Buries marks | Inn of the Abbot of BUry St Edmunds",Streets
560,Bewmounts Inne,Huntington House,HUNT2, ,Bewmounts Inne | Huntington houſe | Huntington Houſe,Sites
561,Bigod’s House,Broken Wharf Mansion,BROK5, ,Bigod’s House | Duke of Norfolk’s Place | mansion called Brokenwharf,Sites
562,Bill[ingsgate,Billingsgate Ward,BILL2,Agas Map,Belingſgate | Belingsgate | Belins Gate warde | Belinſgate | Bill[ingsgate | Billingsgate | Billingsgate Ward | Billingsgate ward | BIllingſgate Ward | Billingſgate warde | Billins gate warde | Billinſegate warde | Billinſga te warde | Billinſgate ward | Billinſgate warde | Billinsgate warde | Billygnes-gate Ward | Boss at Billingsgate | warde of Billinſgate,Wards
563,Billeter lane,Billiter Lane,BILL3,Agas Map,Belliter Lane | belliter lane | Belſetters Lane | Belthotereslan | Belyeterslane | Belzetars lane | Belzeters | Belzettars lane | Belzetters lane | Belȝeters | Belȝeterslane | Billeter lane | Billita lane | Billitar lane | Billiter | Billiter Lane | Billiter Street | Billiter-Lane | Bilzettars lane | Bylleter la. | Bylleter lane | byllyter lane,Streets
564,Billings Gate,Billingsgate,BILL1,Agas Map,B llinſgate | Belingſgate | Belins gate | Belins Gate | Belinsgate | Belinſgate | Billings Gate | Billings gate | Billings-gate | Billingsgate | Billingſgate | Billinſgate | Bilnings Gate | Bylynges gate,Riverside Features
565,Billings gate,Billingsgate,BILL1,Agas Map,B llinſgate | Belingſgate | Belins gate | Belins Gate | Belinsgate | Belinſgate | Billings Gate | Billings gate | Billings-gate | Billingsgate | Billingſgate | Billinſgate | Bilnings Gate | Bylynges gate,Riverside Features
566,Billings-gate,Billingsgate,BILL1,Agas Map,B llinſgate | Belingſgate | Belins gate | Belins Gate | Belinsgate | Belinſgate | Billings Gate | Billings gate | Billings-gate | Billingsgate | Billingſgate | Billinſgate | Bilnings Gate | Bylynges gate,Riverside Features
567,Billingsgate,Billingsgate,BILL1,Agas Map,B llinſgate | Belingſgate | Belins gate | Belins Gate | Belinsgate | Belinſgate | Billings Gate | Billings gate | Billings-gate | Billingsgate | Billingſgate | Billinſgate | Bilnings Gate | Bylynges gate,Riverside Features
568,Billingsgate,Billingsgate Ward,BILL2,Agas Map,Belingſgate | Belingsgate | Belins Gate warde | Belinſgate | Bill[ingsgate | Billingsgate | Billingsgate Ward | Billingsgate ward | BIllingſgate Ward | Billingſgate warde | Billins gate warde | Billinſegate warde | Billinſga te warde | Billinſgate ward | Billinſgate warde | Billinsgate warde | Billygnes-gate Ward | Boss at Billingsgate | warde of Billinſgate,Wards
569,Billingſgate,Billingsgate,BILL1,Agas Map,B llinſgate | Belingſgate | Belins gate | Belins Gate | Belinsgate | Belinſgate | Billings Gate | Billings gate | Billings-gate | Billingsgate | Billingſgate | Billinſgate | Bilnings Gate | Bylynges gate,Riverside Features
570,Billingsgate Love Lane,Love Lane (Thames Street),LOVE1,Agas Map,"Billingsgate Love Lane | Loue lane | Loue Lane | Lovat Lane | Love Lane | Love lane | Love Lane, Lower Thames Street | Love Lane, Thames Street | Love-Lane | Lucas | Lucas [Love] lane | Lucas lane | Lucas Lane | Lukin | Lukins | Roape lane | Rope lane | Rope-lane | Roperelane | Roperie | Roppelane",Streets
571,Billingsgate Strete,Billingsgate Street,BILL6, ,Billingsgate Strete | vicus de Billingsgate,Streets
572,Billingsgate Ward,Billingsgate Ward,BILL2,Agas Map,Belingſgate | Belingsgate | Belins Gate warde | Belinſgate | Bill[ingsgate | Billingsgate | Billingsgate Ward | Billingsgate ward | BIllingſgate Ward | Billingſgate warde | Billins gate warde | Billinſegate warde | Billinſga te warde | Billinſgate ward | Billinſgate warde | Billinsgate warde | Billygnes-gate Ward | Boss at Billingsgate | warde of Billinſgate,Wards
573,Billingsgate ward,Billingsgate Ward,BILL2,Agas Map,Belingſgate | Belingsgate | Belins Gate warde | Belinſgate | Bill[ingsgate | Billingsgate | Billingsgate Ward | Billingsgate ward | BIllingſgate Ward | Billingſgate warde | Billins gate warde | Billinſegate warde | Billinſga te warde | Billinſgate ward | Billinſgate warde | Billinsgate warde | Billygnes-gate Ward | Boss at Billingsgate | warde of Billinſgate,Wards
574,BIllingſgate Ward,Billingsgate Ward,BILL2,Agas Map,Belingſgate | Belingsgate | Belins Gate warde | Belinſgate | Bill[ingsgate | Billingsgate | Billingsgate Ward | Billingsgate ward | BIllingſgate Ward | Billingſgate warde | Billins gate warde | Billinſegate warde | Billinſga te warde | Billinſgate ward | Billinſgate warde | Billinsgate warde | Billygnes-gate Ward | Boss at Billingsgate | warde of Billinſgate,Wards
575,Billingſgate warde,Billingsgate Ward,BILL2,Agas Map,Belingſgate | Belingsgate | Belins Gate warde | Belinſgate | Bill[ingsgate | Billingsgate | Billingsgate Ward | Billingsgate ward | BIllingſgate Ward | Billingſgate warde | Billins gate warde | Billinſegate warde | Billinſga te warde | Billinſgate ward | Billinſgate warde | Billinsgate warde | Billygnes-gate Ward | Boss at Billingsgate | warde of Billinſgate,Wards
576,Billins gate warde,Billingsgate Ward,BILL2,Agas Map,Belingſgate | Belingsgate | Belins Gate warde | Belinſgate | Bill[ingsgate | Billingsgate | Billingsgate Ward | Billingsgate ward | BIllingſgate Ward | Billingſgate warde | Billins gate warde | Billinſegate warde | Billinſga te warde | Billinſgate ward | Billinſgate warde | Billinsgate warde | Billygnes-gate Ward | Boss at Billingsgate | warde of Billinſgate,Wards
577,Billinſegate warde,Billingsgate Ward,BILL2,Agas Map,Belingſgate | Belingsgate | Belins Gate warde | Belinſgate | Bill[ingsgate | Billingsgate | Billingsgate Ward | Billingsgate ward | BIllingſgate Ward | Billingſgate warde | Billins gate warde | Billinſegate warde | Billinſga te warde | Billinſgate ward | Billinſgate warde | Billinsgate warde | Billygnes-gate Ward | Boss at Billingsgate | warde of Billinſgate,Wards
578,Billinſga te warde,Billingsgate Ward,BILL2,Agas Map,Belingſgate | Belingsgate | Belins Gate warde | Belinſgate | Bill[ingsgate | Billingsgate | Billingsgate Ward | Billingsgate ward | BIllingſgate Ward | Billingſgate warde | Billins gate warde | Billinſegate warde | Billinſga te warde | Billinſgate ward | Billinſgate warde | Billinsgate warde | Billygnes-gate Ward | Boss at Billingsgate | warde of Billinſgate,Wards
579,Billinſgate,Billingsgate,BILL1,Agas Map,B llinſgate | Belingſgate | Belins gate | Belins Gate | Belinsgate | Belinſgate | Billings Gate | Billings gate | Billings-gate | Billingsgate | Billingſgate | Billinſgate | Bilnings Gate | Bylynges gate,Riverside Features
580,Billinſgate ward,Billingsgate Ward,BILL2,Agas Map,Belingſgate | Belingsgate | Belins Gate warde | Belinſgate | Bill[ingsgate | Billingsgate | Billingsgate Ward | Billingsgate ward | BIllingſgate Ward | Billingſgate warde | Billins gate warde | Billinſegate warde | Billinſga te warde | Billinſgate ward | Billinſgate warde | Billinsgate warde | Billygnes-gate Ward | Boss at Billingsgate | warde of Billinſgate,Wards
581,Billinſgate warde,Billingsgate Ward,BILL2,Agas Map,Belingſgate | Belingsgate | Belins Gate warde | Belinſgate | Bill[ingsgate | Billingsgate | Billingsgate Ward | Billingsgate ward | BIllingſgate Ward | Billingſgate warde | Billins gate warde | Billinſegate warde | Billinſga te warde | Billinſgate ward | Billinſgate warde | Billinsgate warde | Billygnes-gate Ward | Boss at Billingsgate | warde of Billinſgate,Wards
582,Billinsgate warde,Billingsgate Ward,BILL2,Agas Map,Belingſgate | Belingsgate | Belins Gate warde | Belinſgate | Bill[ingsgate | Billingsgate | Billingsgate Ward | Billingsgate ward | BIllingſgate Ward | Billingſgate warde | Billins gate warde | Billinſegate warde | Billinſga te warde | Billinſgate ward | Billinſgate warde | Billinsgate warde | Billygnes-gate Ward | Boss at Billingsgate | warde of Billinſgate,Wards
583,Billita lane,Billiter Lane,BILL3,Agas Map,Belliter Lane | belliter lane | Belſetters Lane | Belthotereslan | Belyeterslane | Belzetars lane | Belzeters | Belzettars lane | Belzetters lane | Belȝeters | Belȝeterslane | Billeter lane | Billita lane | Billitar lane | Billiter | Billiter Lane | Billiter Street | Billiter-Lane | Bilzettars lane | Bylleter la. | Bylleter lane | byllyter lane,Streets
584,Billitar lane,Billiter Lane,BILL3,Agas Map,Belliter Lane | belliter lane | Belſetters Lane | Belthotereslan | Belyeterslane | Belzetars lane | Belzeters | Belzettars lane | Belzetters lane | Belȝeters | Belȝeterslane | Billeter lane | Billita lane | Billitar lane | Billiter | Billiter Lane | Billiter Street | Billiter-Lane | Bilzettars lane | Bylleter la. | Bylleter lane | byllyter lane,Streets
585,Billiter,Billiter Lane,BILL3,Agas Map,Belliter Lane | belliter lane | Belſetters Lane | Belthotereslan | Belyeterslane | Belzetars lane | Belzeters | Belzettars lane | Belzetters lane | Belȝeters | Belȝeterslane | Billeter lane | Billita lane | Billitar lane | Billiter | Billiter Lane | Billiter Street | Billiter-Lane | Bilzettars lane | Bylleter la. | Bylleter lane | byllyter lane,Streets
586,Billiter Lane,Billiter Lane,BILL3,Agas Map,Belliter Lane | belliter lane | Belſetters Lane | Belthotereslan | Belyeterslane | Belzetars lane | Belzeters | Belzettars lane | Belzetters lane | Belȝeters | Belȝeterslane | Billeter lane | Billita lane | Billitar lane | Billiter | Billiter Lane | Billiter Street | Billiter-Lane | Bilzettars lane | Bylleter la. | Bylleter lane | byllyter lane,Streets
587,Billiter Street,Billiter Lane,BILL3,Agas Map,Belliter Lane | belliter lane | Belſetters Lane | Belthotereslan | Belyeterslane | Belzetars lane | Belzeters | Belzettars lane | Belzetters lane | Belȝeters | Belȝeterslane | Billeter lane | Billita lane | Billitar lane | Billiter | Billiter Lane | Billiter Street | Billiter-Lane | Bilzettars lane | Bylleter la. | Bylleter lane | byllyter lane,Streets
588,Billiter-Lane,Billiter Lane,BILL3,Agas Map,Belliter Lane | belliter lane | Belſetters Lane | Belthotereslan | Belyeterslane | Belzetars lane | Belzeters | Belzettars lane | Belzetters lane | Belȝeters | Belȝeterslane | Billeter lane | Billita lane | Billitar lane | Billiter | Billiter Lane | Billiter Street | Billiter-Lane | Bilzettars lane | Bylleter la. | Bylleter lane | byllyter lane,Streets
589,Billygnes-gate Ward,Billingsgate Ward,BILL2,Agas Map,Belingſgate | Belingsgate | Belins Gate warde | Belinſgate | Bill[ingsgate | Billingsgate | Billingsgate Ward | Billingsgate ward | BIllingſgate Ward | Billingſgate warde | Billins gate warde | Billinſegate warde | Billinſga te warde | Billinſgate ward | Billinſgate warde | Billinsgate warde | Billygnes-gate Ward | Boss at Billingsgate | warde of Billinſgate,Wards
590,Bilnings Gate,Billingsgate,BILL1,Agas Map,B llinſgate | Belingſgate | Belins gate | Belins Gate | Belinsgate | Belinſgate | Billings Gate | Billings gate | Billings-gate | Billingsgate | Billingſgate | Billinſgate | Bilnings Gate | Bylynges gate,Riverside Features
591,Bilzettars lane,Billiter Lane,BILL3,Agas Map,Belliter Lane | belliter lane | Belſetters Lane | Belthotereslan | Belyeterslane | Belzetars lane | Belzeters | Belzettars lane | Belzetters lane | Belȝeters | Belȝeterslane | Billeter lane | Billita lane | Billitar lane | Billiter | Billiter Lane | Billiter Street | Billiter-Lane | Bilzettars lane | Bylleter la. | Bylleter lane | byllyter lane,Streets
592,Birchen lane,Birchin Lane,BIRC1,Agas Map,Berchen lane | Bercheners lane | Berchenes-lane | Bercheouars Lane | Berchernerelane | Bercherverelane | Berchervereslane | Birchen lane | Birchen Lane | Birchin Lane | Birchin lane | Birchouer | Birchouer Lane | Birchoueriſlane | Birchouerislane | Birchouers lane | Burcheouers lane | Byrchyn Lane,Streets
593,Birchen Lane,Birchin Lane,BIRC1,Agas Map,Berchen lane | Bercheners lane | Berchenes-lane | Bercheouars Lane | Berchernerelane | Bercherverelane | Berchervereslane | Birchen lane | Birchen Lane | Birchin Lane | Birchin lane | Birchouer | Birchouer Lane | Birchoueriſlane | Birchouerislane | Birchouers lane | Burcheouers lane | Byrchyn Lane,Streets
594,Birchin Lane,Birchin Lane,BIRC1,Agas Map,Berchen lane | Bercheners lane | Berchenes-lane | Bercheouars Lane | Berchernerelane | Bercherverelane | Berchervereslane | Birchen lane | Birchen Lane | Birchin Lane | Birchin lane | Birchouer | Birchouer Lane | Birchoueriſlane | Birchouerislane | Birchouers lane | Burcheouers lane | Byrchyn Lane,Streets
595,Birchin lane,Birchin Lane,BIRC1,Agas Map,Berchen lane | Bercheners lane | Berchenes-lane | Bercheouars Lane | Berchernerelane | Bercherverelane | Berchervereslane | Birchen lane | Birchen Lane | Birchin Lane | Birchin lane | Birchouer | Birchouer Lane | Birchoueriſlane | Birchouerislane | Birchouers lane | Burcheouers lane | Byrchyn Lane,Streets
596,Birchouer,Birchin Lane,BIRC1,Agas Map,Berchen lane | Bercheners lane | Berchenes-lane | Bercheouars Lane | Berchernerelane | Bercherverelane | Berchervereslane | Birchen lane | Birchen Lane | Birchin Lane | Birchin lane | Birchouer | Birchouer Lane | Birchoueriſlane | Birchouerislane | Birchouers lane | Burcheouers lane | Byrchyn Lane,Streets
597,Birchouer Lane,Birchin Lane,BIRC1,Agas Map,Berchen lane | Bercheners lane | Berchenes-lane | Bercheouars Lane | Berchernerelane | Bercherverelane | Berchervereslane | Birchen lane | Birchen Lane | Birchin Lane | Birchin lane | Birchouer | Birchouer Lane | Birchoueriſlane | Birchouerislane | Birchouers lane | Burcheouers lane | Byrchyn Lane,Streets
598,Birchoueriſlane,Birchin Lane,BIRC1,Agas Map,Berchen lane | Bercheners lane | Berchenes-lane | Bercheouars Lane | Berchernerelane | Bercherverelane | Berchervereslane | Birchen lane | Birchen Lane | Birchin Lane | Birchin lane | Birchouer | Birchouer Lane | Birchoueriſlane | Birchouerislane | Birchouers lane | Burcheouers lane | Byrchyn Lane,Streets
599,Birchouerislane,Birchin Lane,BIRC1,Agas Map,Berchen lane | Bercheners lane | Berchenes-lane | Bercheouars Lane | Berchernerelane | Bercherverelane | Berchervereslane | Birchen lane | Birchen Lane | Birchin Lane | Birchin lane | Birchouer | Birchouer Lane | Birchoueriſlane | Birchouerislane | Birchouers lane | Burcheouers lane | Byrchyn Lane,Streets
600,Birchouers lane,Birchin Lane,BIRC1,Agas Map,Berchen lane | Bercheners lane | Berchenes-lane | Bercheouars Lane | Berchernerelane | Bercherverelane | Berchervereslane | Birchen lane | Birchen Lane | Birchin Lane | Birchin lane | Birchouer | Birchouer Lane | Birchoueriſlane | Birchouerislane | Birchouers lane | Burcheouers lane | Byrchyn Lane,Streets
601,Biſhop of Bathes Inne,Arundel House,ARUN1,Agas Map,Arondel | Arondel house | Arondell | Arondell-Howse | Arundel | Arundel House | Arundel house | Arundel-house | Arundell | Arundell houſe | Arundell house | Arundell House | Arundell P | Arundell-House | Bath House | Bath Inn | Bath Inn house | Bath Place | Bath Place or Bath Inn | Bathe Place | Biſhop of Bathes Inne | Bishop of Bathes Inne | Bishop of Baths Inn | Bishop of Baths Inne | Bishop of Bath’s Inn | Charterhouse | City-House | Hampton Place | Hampton place | House | House of the Bishop of Bath and Wells | Howard House | Seymour Place,Sites
602,Bishop of Bathes Inne,Arundel House,ARUN1,Agas Map,Arondel | Arondel house | Arondell | Arondell-Howse | Arundel | Arundel House | Arundel house | Arundel-house | Arundell | Arundell houſe | Arundell house | Arundell House | Arundell P | Arundell-House | Bath House | Bath Inn | Bath Inn house | Bath Place | Bath Place or Bath Inn | Bathe Place | Biſhop of Bathes Inne | Bishop of Bathes Inne | Bishop of Baths Inn | Bishop of Baths Inne | Bishop of Bath’s Inn | Charterhouse | City-House | Hampton Place | Hampton place | House | House of the Bishop of Bath and Wells | Howard House | Seymour Place,Sites
603,Bishop of Baths Inn,Arundel House,ARUN1,Agas Map,Arondel | Arondel house | Arondell | Arondell-Howse | Arundel | Arundel House | Arundel house | Arundel-house | Arundell | Arundell houſe | Arundell house | Arundell House | Arundell P | Arundell-House | Bath House | Bath Inn | Bath Inn house | Bath Place | Bath Place or Bath Inn | Bathe Place | Biſhop of Bathes Inne | Bishop of Bathes Inne | Bishop of Baths Inn | Bishop of Baths Inne | Bishop of Bath’s Inn | Charterhouse | City-House | Hampton Place | Hampton place | House | House of the Bishop of Bath and Wells | Howard House | Seymour Place,Sites
604,Bishop of Baths Inne,Arundel House,ARUN1,Agas Map,Arondel | Arondel house | Arondell | Arondell-Howse | Arundel | Arundel House | Arundel house | Arundel-house | Arundell | Arundell houſe | Arundell house | Arundell House | Arundell P | Arundell-House | Bath House | Bath Inn | Bath Inn house | Bath Place | Bath Place or Bath Inn | Bathe Place | Biſhop of Bathes Inne | Bishop of Bathes Inne | Bishop of Baths Inn | Bishop of Baths Inne | Bishop of Bath’s Inn | Charterhouse | City-House | Hampton Place | Hampton place | House | House of the Bishop of Bath and Wells | Howard House | Seymour Place,Sites
605,Bishop of Bath’s Inn,Arundel House,ARUN1,Agas Map,Arondel | Arondel house | Arondell | Arondell-Howse | Arundel | Arundel House | Arundel house | Arundel-house | Arundell | Arundell houſe | Arundell house | Arundell House | Arundell P | Arundell-House | Bath House | Bath Inn | Bath Inn house | Bath Place | Bath Place or Bath Inn | Bathe Place | Biſhop of Bathes Inne | Bishop of Bathes Inne | Bishop of Baths Inn | Bishop of Baths Inne | Bishop of Bath’s Inn | Charterhouse | City-House | Hampton Place | Hampton place | House | House of the Bishop of Bath and Wells | Howard House | Seymour Place,Sites
606,Biſhop of Herefordes Inne or lodging,Bishop of Hereford’s Inn,BISH5, ,Biſhop of Herefordes Inne or lodging | Biſhop of Herefords houſe,Sites
607,Biſhop of Herefords houſe,Bishop of Hereford’s Inn,BISH5, ,Biſhop of Herefordes Inne or lodging | Biſhop of Herefords houſe,Sites
608,Biſhop of Wincheſters houſe,Winchester House,WINC1,Agas Map,Biſhop of Wincheſters houſe | Biſhop of Wincheſters lodging in Southwarke | Biſhoppe of Wincheſters houſe | Wincheſte houſe | Winchester House,Sites
609,Biſhop of Wincheſters lodging in Southwarke,Winchester House,WINC1,Agas Map,Biſhop of Wincheſters houſe | Biſhop of Wincheſters lodging in Southwarke | Biſhoppe of Wincheſters houſe | Wincheſte houſe | Winchester House,Sites
610,Biſhop-gate,Bishopsgate,BISH2,Agas Map,Biſhop-gate | Bishopgate | Bishops | Biſhops gate | Biſhops Gate | Biſhops-gare | Bishopsgate | Biſhopſgate | biſhopsgate | Bishopsgate and Bishopsgate Street | Bishop’s Gate | Blſhopſgate | Byſhops-gate | gate,Gates
611,Bishopgate,Bishopsgate,BISH2,Agas Map,Biſhop-gate | Bishopgate | Bishops | Biſhops gate | Biſhops Gate | Biſhops-gare | Bishopsgate | Biſhopſgate | biſhopsgate | Bishopsgate and Bishopsgate Street | Bishop’s Gate | Blſhopſgate | Byſhops-gate | gate,Gates
612,Biſhoppe of S. Dauides houſe,Bishop of St. David’s Inn,DAVI6, ,Biſhoppe of S. Dauides houſe,Victualling Houses
613,Biſhoppe of Wincheſters houſe,Winchester House,WINC1,Agas Map,Biſhop of Wincheſters houſe | Biſhop of Wincheſters lodging in Southwarke | Biſhoppe of Wincheſters houſe | Wincheſte houſe | Winchester House,Sites
614,Biſhoppe of Wincheſters ſtaires,Bishops of Winchester’s Stairs,BISP1, ,Biſhoppe of Wincheſters ſtaires,Sites
615,Biſhoppes Pallace,St. Gregory by St. Paul’s,STJA2,Agas Map,"Biſhoppes Pallace | Church of S. Gregory | church of Saint Gregorie | church of Saint Gregory, the BiPoppes Pallace | S. Gregory by Paules church | Saint Gregorie | St. Gregory by St. Paul’s",Churches
616,Bishops,Bishopsgate,BISH2,Agas Map,Biſhop-gate | Bishopgate | Bishops | Biſhops gate | Biſhops Gate | Biſhops-gare | Bishopsgate | Biſhopſgate | biſhopsgate | Bishopsgate and Bishopsgate Street | Bishop’s Gate | Blſhopſgate | Byſhops-gate | gate,Gates
617,Biſhops gate,Bishopsgate,BISH2,Agas Map,Biſhop-gate | Bishopgate | Bishops | Biſhops gate | Biſhops Gate | Biſhops-gare | Bishopsgate | Biſhopſgate | biſhopsgate | Bishopsgate and Bishopsgate Street | Bishop’s Gate | Blſhopſgate | Byſhops-gate | gate,Gates
618,Biſhops Gate,Bishopsgate,BISH2,Agas Map,Biſhop-gate | Bishopgate | Bishops | Biſhops gate | Biſhops Gate | Biſhops-gare | Bishopsgate | Biſhopſgate | biſhopsgate | Bishopsgate and Bishopsgate Street | Bishop’s Gate | Blſhopſgate | Byſhops-gate | gate,Gates
619,Biſhops hall,Bishop’s Hall,BISH6, ,Biſhops hall | Biſhops Hall,Sites
620,Biſhops Hall,Bishop’s Hall,BISH6, ,Biſhops hall | Biſhops Hall,Sites
621,Biſhops Palace,Bishop’s Palace,BISH7,Agas Map,Biſhops Palace | Biſhops Pallace | Bishop’s Palace,Sites
622,Biſhops Pallace,Bishop’s Palace,BISH7,Agas Map,Biſhops Palace | Biſhops Pallace | Bishop’s Palace,Sites
623,Biſhops-gare,Bishopsgate,BISH2,Agas Map,Biſhop-gate | Bishopgate | Bishops | Biſhops gate | Biſhops Gate | Biſhops-gare | Bishopsgate | Biſhopſgate | biſhopsgate | Bishopsgate and Bishopsgate Street | Bishop’s Gate | Blſhopſgate | Byſhops-gate | gate,Gates
624,Biſhopſgat,Bishopsgate Street,BISH3,Agas Map,B[i]ſhopſgateſtreet | Biſhopſgat | Biſhopſgate | Bishopsgate | Bishopsgate and Bishopsgate Street | Bishopsgate Street | Biſhopſgate ſtreet | biſhopſgate ſtreet | Biſhopſgate street | Biſhopſgate ſtreete | Bishopsgate streete | Biſhopſgate ſtréet | Biſhopſgate ſtréete | Biſhopſgate-ſtreet | Biſhopſgateſtreet | Bisshopesgatestrete | Busshopp gate Streate | byſhop gate ſtrete,Streets
625,Biſhopſgate,Bishopsgate Ward,BISH1,Agas Map,Biſhopſgate | Bishopsgate | Bishopsgate Street Ward | Bishopsgate Ward | Biſhopſgate ward | Biſhopſgate Ward | Bishopsgate ward (without) | Biſhopſgate Warde | Biſhopſgate warde,Wards
626,Biſhopſgate,Bishopsgate,BISH2,Agas Map,Biſhop-gate | Bishopgate | Bishops | Biſhops gate | Biſhops Gate | Biſhops-gare | Bishopsgate | Biſhopſgate | biſhopsgate | Bishopsgate and Bishopsgate Street | Bishop’s Gate | Blſhopſgate | Byſhops-gate | gate,Gates
627,Biſhopſgate,Bishopsgate Street,BISH3,Agas Map,B[i]ſhopſgateſtreet | Biſhopſgat | Biſhopſgate | Bishopsgate | Bishopsgate and Bishopsgate Street | Bishopsgate Street | Biſhopſgate ſtreet | biſhopſgate ſtreet | Biſhopſgate street | Biſhopſgate ſtreete | Bishopsgate streete | Biſhopſgate ſtréet | Biſhopſgate ſtréete | Biſhopſgate-ſtreet | Biſhopſgateſtreet | Bisshopesgatestrete | Busshopp gate Streate | byſhop gate ſtrete,Streets
628,Bishopsgate,Bishopsgate Ward,BISH1,Agas Map,Biſhopſgate | Bishopsgate | Bishopsgate Street Ward | Bishopsgate Ward | Biſhopſgate ward | Biſhopſgate Ward | Bishopsgate ward (without) | Biſhopſgate Warde | Biſhopſgate warde,Wards
629,Bishopsgate,Bishopsgate,BISH2,Agas Map,Biſhop-gate | Bishopgate | Bishops | Biſhops gate | Biſhops Gate | Biſhops-gare | Bishopsgate | Biſhopſgate | biſhopsgate | Bishopsgate and Bishopsgate Street | Bishop’s Gate | Blſhopſgate | Byſhops-gate | gate,Gates
630,Bishopsgate,Bishopsgate Street,BISH3,Agas Map,B[i]ſhopſgateſtreet | Biſhopſgat | Biſhopſgate | Bishopsgate | Bishopsgate and Bishopsgate Street | Bishopsgate Street | Biſhopſgate ſtreet | biſhopſgate ſtreet | Biſhopſgate street | Biſhopſgate ſtreete | Bishopsgate streete | Biſhopſgate ſtréet | Biſhopſgate ſtréete | Biſhopſgate-ſtreet | Biſhopſgateſtreet | Bisshopesgatestrete | Busshopp gate Streate | byſhop gate ſtrete,Streets
631,biſhopsgate,Bishopsgate,BISH2,Agas Map,Biſhop-gate | Bishopgate | Bishops | Biſhops gate | Biſhops Gate | Biſhops-gare | Bishopsgate | Biſhopſgate | biſhopsgate | Bishopsgate and Bishopsgate Street | Bishop’s Gate | Blſhopſgate | Byſhops-gate | gate,Gates
632,Bishopsgate and Bishopsgate Street,Bishopsgate,BISH2,Agas Map,Biſhop-gate | Bishopgate | Bishops | Biſhops gate | Biſhops Gate | Biſhops-gare | Bishopsgate | Biſhopſgate | biſhopsgate | Bishopsgate and Bishopsgate Street | Bishop’s Gate | Blſhopſgate | Byſhops-gate | gate,Gates
633,Bishopsgate and Bishopsgate Street,Bishopsgate Street,BISH3,Agas Map,B[i]ſhopſgateſtreet | Biſhopſgat | Biſhopſgate | Bishopsgate | Bishopsgate and Bishopsgate Street | Bishopsgate Street | Biſhopſgate ſtreet | biſhopſgate ſtreet | Biſhopſgate street | Biſhopſgate ſtreete | Bishopsgate streete | Biſhopſgate ſtréet | Biſhopſgate ſtréete | Biſhopſgate-ſtreet | Biſhopſgateſtreet | Bisshopesgatestrete | Busshopp gate Streate | byſhop gate ſtrete,Streets
634,Bishopsgate Street,Bishopsgate Street,BISH3,Agas Map,B[i]ſhopſgateſtreet | Biſhopſgat | Biſhopſgate | Bishopsgate | Bishopsgate and Bishopsgate Street | Bishopsgate Street | Biſhopſgate ſtreet | biſhopſgate ſtreet | Biſhopſgate street | Biſhopſgate ſtreete | Bishopsgate streete | Biſhopſgate ſtréet | Biſhopſgate ſtréete | Biſhopſgate-ſtreet | Biſhopſgateſtreet | Bisshopesgatestrete | Busshopp gate Streate | byſhop gate ſtrete,Streets
635,Biſhopſgate ſtreet,Bishopsgate Street,BISH3,Agas Map,B[i]ſhopſgateſtreet | Biſhopſgat | Biſhopſgate | Bishopsgate | Bishopsgate and Bishopsgate Street | Bishopsgate Street | Biſhopſgate ſtreet | biſhopſgate ſtreet | Biſhopſgate street | Biſhopſgate ſtreete | Bishopsgate streete | Biſhopſgate ſtréet | Biſhopſgate ſtréete | Biſhopſgate-ſtreet | Biſhopſgateſtreet | Bisshopesgatestrete | Busshopp gate Streate | byſhop gate ſtrete,Streets
636,biſhopſgate ſtreet,Bishopsgate Street,BISH3,Agas Map,B[i]ſhopſgateſtreet | Biſhopſgat | Biſhopſgate | Bishopsgate | Bishopsgate and Bishopsgate Street | Bishopsgate Street | Biſhopſgate ſtreet | biſhopſgate ſtreet | Biſhopſgate street | Biſhopſgate ſtreete | Bishopsgate streete | Biſhopſgate ſtréet | Biſhopſgate ſtréete | Biſhopſgate-ſtreet | Biſhopſgateſtreet | Bisshopesgatestrete | Busshopp gate Streate | byſhop gate ſtrete,Streets
